Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s119,ucb1,54,timeout,6663.19,7278.75,1.94,86,2.50,"[('bmc2', 77.02, 0.9510566559515288, 77.02, 0, 60.0), ('bmc2', 6586.17, 1.0250721357408954, 6663.1900000000005, 3522.98, 47)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s145,ucb1,42,timeout,3600.00,4253.82,1.98,39,2.54,"[('bmc3g', 60.0, 0.9629039936875727, 60.0, 0, 60.0), ('bmc3g', 396.13999999999993, 1.6522544216334796, 456.13999999999993, 396.13999999999993, 26), ('bmc3g', 955.9799999999999, 1.2416298814482645, 1412.12, 955.9799999999999, 34), ('bmc3g', 2187.88, 1.018875119767965, 3600.0, 2187.88, 39)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s160,ucb1,409,timeout,3099.56,3582.03,2.30,37,2.86,"[('bmc3g', 60.0, 0.998053021565877, 60.0, 0, 60.0), ('bmc3g', 281.91, 2.3111628164315503, 341.91, 281.91, 121), ('bmc3g', 433.61, 2.171400973303844, 775.52, 592.05, 193), ('bmc3g', 715.86, 2.0959428183513644, 1491.38, 828.4000000000005, 265), ('bmc3g', 1608.18, 2.028558402247427, 3099.5600000000004, 2108.62, 337)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s163,ucb1,0,timeout,0.00,0.17,1.91,0,2.47,[]
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s163,ucb1,7554,timeout,3600.00,10129.85,7.48,9139,8.04,"[('bmc3g', 120.02, 0.9999639611265895, 120.02, 0, 120.0), ('bmc3g', 183.17999999998744, 2.961020051951746, 303.1999999999874, 183.17999999998744, 2424), ('bmc3g', 236.12, 2.9640894900204597, 539.3199999999874, 521.2800000000128, 3292), ('bmc3g', 202.94, 2.9836660480181996, 742.2599999999875, 521.2800000000128, 4160), ('bmc3g', 342.12, 2.9231831824265946, 1084.3799999999874, 521.2800000000128, 5028), ('bmc3g', 285.61, 2.953223360350636, 1369.9899999999875, 521.2800000000128, 5896), ('bmc3g', 521.2800000000128, 2.9064796027751902, 1891.2700000000004, 521.2800000000128, 6764), ('bmc3g', 521.2800000000128, 2.570089183070729, 2412.5500000000134, 521.2800000000128, 7408), ('bmc3g', 521.2800000000128, 2.041619209567939, 2933.8300000000263, 521.2800000000128, 7528), ('bmc3g', 666.1699999999737, 2.0001872197396593, 3600.0, 666.1699999999737, 7548)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s191,ucb1,306,timeout,2830.26,3324.79,2.22,31,2.77,"[('bmc3g', 60.0, 0.9977214088454963, 60.0, 0, 60.0), ('bmc3g', 270.47999999999996, 2.1837015009597054, 330.47999999999996, 270.47999999999996, 114), ('bmc3g', 764.07, 2.0558807713557328, 1094.55, 824.8300000000004, 178), ('bmc3g', 1735.71, 2.0192631661300844, 2830.26, 2505.45, 242)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s20,ucb1,10,sat,121.26,965.24,1.94,16,2.49,"[('bmc2', 115.22, 0.5572619617483421, 115.22, 0, 60.0), ('bmc3j4', 6.04, 2.0732696078964747, 121.26, 82.03999999999999, 9)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s274r,ucb1,0,timeout,0.00,0.17,1.91,0,2.47,[]
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s274r,ucb1,165909,timeout,120.11,1056.33,2.85,8956,22.61,"[('bmc3s', 120.11, 0.9999987117556547, 120.11, 0, 120.0)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s279r,ucb1,18,timeout,7133.66,25750.59,1.96,138,2.52,"[('bmc2', 92.58, 0.7273431270428259, 92.58, 0, 60.0), ('bmc3r', 659.65, 1.9754835855500263, 752.23, 575.91, 14), ('bmc3s', 575.91, 1.965344695704021, 1328.1399999999999, 752.23, 575.91), ('bmc2', 5805.52, 1.0111730687663378, 7133.66, 1328.1399999999999, 2271.86)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s309b034,ucb1,0,timeout,0.00,0.17,1.91,0,2.47,[]
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s309b034,ucb1,68,sat,377.82,886.33,2.00,144,2.56,"[('bmc3j3', 62.04, 0.9850973455427604, 62.04, 0, 60.0), ('bmc3j4', 315.78, 1.6718968761772741, 377.82, 519.7899999999997, 63)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s320rb0,ucb1,10,sat,121.38,984.72,1.93,38,2.49,"[('bmc2', 108.3, 0.5336429243553887, 108.3, 0, 60.0), ('bmc3j2', 13.08, 2.038759202371189, 121.38, 94.95, 9)]"
